頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
ス,ｽﾐｼｮｰﾄ28,17820,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ28,17821,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄA28,17822,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ス,ｽﾐｼｮｰﾄ14,18201,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ14,18202,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄA14,18203,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ス,ｽﾐｼｮｰﾄ21,18204,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ21,18205,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄA21,18206,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ス,ｽﾐｼｮｰﾄ35,19912,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ク,くみあいｵﾘｾﾞﾒｰﾄ入り複合燐加安264,20649,,農薬肥料,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,,,
カ,ｶﾀﾞﾝ殺虫肥料,20789,,農薬肥料,ｱｾﾀﾐﾌﾟﾘﾄﾞ,4A,,,,,,,,
ク,くみあいｵﾘｾﾞﾒｰﾄｱﾄﾞﾏｲﾔｰ入り複合燐加安264,21038,,農薬肥料,ｲﾐﾀﾞｸﾛﾌﾟﾘﾄﾞ,4A,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
漢字,楽一15,21293,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,楽一19,21294,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,楽一20,21295,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,楽一21,21557,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,楽一25,21558,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,楽一27,21559,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,楽一20S,21560,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ一発21,21838,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ一発27,22060,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ一発25,22061,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
サ,ｻﾝﾌﾞﾚｲｸ液剤,22170,,農薬肥料,ﾋﾄﾞﾛｷｼｲｿｷｻｿﾞｰﾙｶﾘｳﾑ,32,,,,,,,,
フ,ﾌｨｰﾙﾄﾞﾜｰｸ,22181,,農薬肥料,DBN,29,,,,,,,,
漢字,楽一18,22450,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,楽一20W,22451,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ク,くみあいｺｰﾌﾟｶﾞｰﾄﾞ一発664,22737,,農薬肥料,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,,,
ク,ｸｻﾋﾟｰｽｸﾞﾘｰﾝ粒剤,22744,,農薬肥料,ｼｱﾅｼﾞﾝ,5,DBN,29,,,,,,
シ,ｼﾊﾞﾆｰﾄﾞｸﾞﾘｰﾝ粒剤,22745,,農薬肥料,ｼｱﾅｼﾞﾝ,5,DBN,29,,,,,,
キ,ｷｰﾌﾟﾚｲﾔｰ,22746,,農薬肥料,ﾁｱﾒﾄｷｻﾑ,4A,,,,,,,,
シ,ｼﾊﾞﾚﾝｼﾞｬｰ,22748,,農薬肥料,ﾄﾘｱｼﾞﾌﾗﾑ,29,DBN,29,,,,,,
シ,ｼﾊﾞｷｰﾌﾟﾌﾟﾗｽα,22749,,農薬肥料,ﾄﾘｱｼﾞﾌﾗﾑ,29,DBN,29,,,,,,
漢字,側条用ｺｰﾌﾟｼｮｰﾄ一発20,22780,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番25,22880,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番20S,22881,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番20W,22882,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番18,22883,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番21,22884,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番27,22885,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA18,23048,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA21,23049,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA25,23050,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA27,23051,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA20S,23052,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA20W,23053,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ス,ｽﾏｯｼｭA14,23067,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ス,ｽﾏｯｼｭA21,23068,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
マ,ﾏｯｷｰﾉ,23636,,農薬肥料,ｸﾛﾁｱﾆｼﾞﾝ,4A,,,,,,,,
タ,ﾀﾁｶﾞﾚﾌｧｲﾄ液剤,23677,,農薬肥料,ﾋﾄﾞﾛｷｼｲｿｷｻｿﾞｰﾙｶﾘｳﾑ,32,,,,,,,,
ハ,ﾊｲﾎﾟﾈｯｸｽ原液 殺虫剤入り,23685,,農薬肥料,ｼﾞﾉﾃﾌﾗﾝ,4A,,,,,,,,
漢字,楽一28N,23762,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番28N,23763,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA28N,23764,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ一発ﾊｲﾁｯｿ,23765,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ヘ,ﾍﾞﾆｶﾜｲﾄﾞｹｱｽﾌﾟﾚｰ,23969,,農薬肥料,ﾌｪﾝﾌﾟﾛﾊﾟﾄﾘﾝ,3A,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
漢字,楽一28W,24050,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,登熟一番28W,24051,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
タ,ﾀﾞﾌﾞﾙｼｮｯﾄA28W,24052,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
マ,ﾏｸﾞｧﾝﾌﾟK 殺虫剤入り,24413,,農薬肥料,ｼﾞﾉﾃﾌﾗﾝ,4A,,,,,,,,
シ,ｼﾊﾞﾚﾝｼﾞｬｰⅢ粒剤,24426,,農薬肥料,ﾒｺﾌﾟﾛｯﾌﾟPｶﾘｳﾑ塩,4,DBN,29,,,,,,
シ,ｼﾊﾞｷｰﾌﾟﾌﾟﾗｽⅤ,24427,,農薬肥料,ﾒｺﾌﾟﾛｯﾌﾟPｶﾘｳﾑ塩,4,DBN,29,,,,,,
カ,ｶﾞｰﾃﾞﾝｱｼｽﾄﾌﾟﾗｽｽﾌﾟﾚｰ,24523,,農薬肥料,ﾌｪﾝﾌﾟﾛﾊﾟﾄﾘﾝ,3A,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
