頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
ケ,ｹﾞｻﾞｶﾞｰﾄﾞ50,5818,,除草剤,ﾌﾟﾛﾒﾄﾘﾝ,5,,,,,,,,
カ,ｶｿﾛﾝ粒剤,6746,,除草剤,DBN,29,,,,,,,,
ト,ﾄﾚﾌｧﾉｻｲﾄﾞ乳剤,7327,,除草剤,ﾄﾘﾌﾙﾗﾘﾝ,3,,,,,,,,
ク,ｸｻﾄｰﾙFP粒剤,7449,,除草剤,塩素酸ﾅﾄﾘｳﾑ,「-」,,,,,,,,
漢字,日産MCPｿｰﾀﾞ塩,7684,,除草剤,MCPAﾅﾄﾘｳﾑ塩,4,,,,,,,,
ク,ｸﾛﾛIPC｢石原｣,7693,,除草剤,IPC,23,,,,,,,,
漢字,石原MCPｿｰﾀﾞ塩,7697,,除草剤,MCPAﾅﾄﾘｳﾑ塩,4,,,,,,,,
数字,"2,4-D｢石原｣ｱﾐﾝ塩",7698,,除草剤,"2,4-PAｼﾞﾒﾁﾙｱﾐﾝ",4,,,,,,,,
ク,ｸﾛﾛIPC｢日産｣,8092,,除草剤,IPC,23,,,,,,,,
H,HCC-ｸﾛﾛIPC乳剤,8365,,除草剤,IPC,23,,,,,,,,
テ,ﾃﾞｿﾞﾚｰﾄA,9024,,除草剤,塩素酸ﾅﾄﾘｳﾑ,「-」,,,,,,,,
モ,ﾓｹﾞﾄﾝ粒剤,9109,,除草剤,ACN,0,,,,,,,,
ト,ﾄﾚﾌｧﾉｻｲﾄﾞ粒剤2.5,9512,,除草剤,ﾄﾘﾌﾙﾗﾘﾝ,3,,,,,,,,
フ,ﾌﾚﾉｯｸ液剤30,9898,,除草剤,ﾃﾄﾗﾋﾟｵﾝ,0,,,,,,,,
ホ,ﾎｸｺｰﾚﾅﾊﾟｯｸ水和剤,9975,,除草剤,ﾚﾅｼﾙ,5,PAC,5,,,,,,
レ,ﾚﾅﾊﾟｯｸ水和剤,9979,,除草剤,ﾚﾅｼﾙ,5,PAC,5,,,,,,
漢字,日農ﾗｯｿｰ乳剤,10777,,除草剤,ｱﾗｸﾛｰﾙ,15,,,,,,,,
漢字,日産ﾗｯｿｰ乳剤,10778,,除草剤,ｱﾗｸﾛｰﾙ,15,,,,,,,,
フ,ﾌﾚﾉｯｸ粒剤10,10783,,除草剤,ﾃﾄﾗﾋﾟｵﾝ,0,,,,,,,,
サ,ｻﾀｰﾝ乳剤,11044,,除草剤,ﾍﾞﾝﾁｵｶｰﾌﾞ,15,,,,,,,,
タ,ﾀﾞｲﾛﾝ,11338,,除草剤,DCMU,5,,,,,,,,
ク,ｸﾛﾚｰﾄS,11912,,除草剤,塩素酸ﾅﾄﾘｳﾑ,「-」,,,,,,,,
ア,ｱｰｼﾞﾗﾝ液剤,12006,,除草剤,ｱｼｭﾗﾑ,18,,,,,,,,
漢字,一農DCMU水和剤,12201,,除草剤,DCMU,5,,,,,,,,
サ,ｻﾝｹｲDCMU,12214,,除草剤,DCMU,5,,,,,,,,
ハ,ﾊｲﾊﾞｰX,12403,,除草剤,ﾌﾞﾛﾏｼﾙ,5,,,,,,,,
サ,ｻﾝｹｲﾊｲﾊﾞｰX,12434,,除草剤,ﾌﾞﾛﾏｼﾙ,5,,,,,,,,
カ,ｶｰﾌﾞ水和剤,12838,,除草剤,ﾌﾟﾛﾋﾟｻﾞﾐﾄﾞ,3,,,,,,,,
サ,ｻﾀｰﾝﾊﾞｱﾛ乳剤,12967,,除草剤,ﾌﾟﾛﾒﾄﾘﾝ,5,ﾍﾞﾝﾁｵｶｰﾌﾞ,15,,,,,,
ク,ｸｻﾄｰﾙFP水溶剤,12990,,除草剤,塩素酸ﾅﾄﾘｳﾑ,「-」,,,,,,,,
ク,ｸﾛﾚｰﾄSL,12991,,除草剤,塩素酸ﾅﾄﾘｳﾑ,「-」,,,,,,,,
ロ,ﾛﾛｯｸｽ粒剤,13865,,除草剤,ﾘﾆｭﾛﾝ,5,,,,,,,,
キ,ｷﾚﾀﾞｰ,13870,,除草剤,ACN,0,,,,,,,,
カ,ｶｿﾛﾝ粒剤4.5,14113,,除草剤,DBN,29,,,,,,,,
サ,ｻﾝﾊﾞｰﾄﾞ粒剤,14205,,除草剤,ﾋﾟﾗｿﾞﾚｰﾄ,27,,,,,,,,
ホ,ﾎｸｺｰｶｿﾛﾝ粒剤6.7,14216,,除草剤,DBN,29,,,,,,,,
カ,ｶｿﾛﾝ粒剤6.7,14217,,除草剤,DBN,29,,,,,,,,
サ,ｻﾀｰﾝﾊﾞｱﾛ粒剤,14298,,除草剤,ﾌﾟﾛﾒﾄﾘﾝ,5,ﾍﾞﾝﾁｵｶｰﾌﾞ,15,,,,,,
ラ,ﾗｳﾝﾄﾞｱｯﾌﾟ,14360,,除草剤,ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩,9,,,,,,,,
漢字,住化ｸﾚﾏｰﾄU粒剤,14649,,除草剤,ﾌﾞﾀﾐﾎｽ,3,,,,,,,,
ホ,ﾎｸｺｰｸﾚﾏｰﾄU粒剤,14650,,除草剤,ﾌﾞﾀﾐﾎｽ,3,,,,,,,,
漢字,日農ｸﾚﾏｰﾄU粒剤,14653,,除草剤,ﾌﾞﾀﾐﾎｽ,3,,,,,,,,
サ,ｻﾝｹｲｸﾚﾏｰﾄU粒剤,14654,,除草剤,ﾌﾞﾀﾐﾎｽ,3,,,,,,,,
サ,ｻﾞｲﾄﾛﾝｱﾐﾝ液剤,14673,,除草剤,ﾄﾘｸﾛﾋﾟﾙﾄﾘｴﾁﾙｱﾝﾓﾆｳﾑ,4,,,,,,,,
ホ,ﾎﾄﾞｶﾞﾔｻﾞｲﾄﾛﾝｱﾐﾝ液剤,14674,,除草剤,ﾄﾘｸﾛﾋﾟﾙﾄﾘｴﾁﾙｱﾝﾓﾆｳﾑ,4,,,,,,,,
