頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
漢字,水溶性ﾗﾃﾐﾝ錠,2040,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,強力ﾗﾃﾐﾝ,2309,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
ラ,ﾗﾃﾐﾝﾘﾝ化亜鉛1%,3412,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
メ,ﾒﾘｰﾈｺ1号,3640,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
Z,Z･P,4088,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
漢字,強力ﾛｰﾀﾞﾝ,4917,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,固形ﾗﾃﾐﾝ,5823,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ明治,6004,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ明治液剤,6005,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和液剤,6006,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和粉末,6007,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
ル,ﾙｰﾄﾝ,6071,,植物成長調整剤,1-ﾅﾌﾁﾙｱｾﾄｱﾐﾄﾞ,「-（植）」,,,,,,,,
漢字,石原ﾄﾏﾄﾄｰﾝ,6072,,植物成長調整剤,4-CPA,「-（植）」,,,,,,,,
メ,ﾒﾘｰﾈｺりん化亜鉛,6603,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
メ,ﾒﾘｰﾈｺｸﾏﾘﾝ,6727,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
Z,Z･P1.00,8971,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
チ,ﾁｭｰﾓｱ｢ｺﾝｸ｣,11005,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,日産ﾄﾏﾄﾄｰﾝ,11762,,植物成長調整剤,4-CPA,「-（植）」,,,,,,,,
オ,ｵｷｼﾍﾞﾛﾝ粉剤0.5,11788,,植物成長調整剤,ｲﾝﾄﾞｰﾙ酪酸,「-（植）」,,,,,,,,
オ,ｵｷｼﾍﾞﾛﾝ液剤,11790,,植物成長調整剤,ｲﾝﾄﾞｰﾙ酪酸,「-（植）」,,,,,,,,
サ,ｻﾝｹｲｸﾏﾘﾝ,12314,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,粉末ﾗﾃﾐﾝ,12988,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,日産ｴｽﾚﾙ10,13038,,植物成長調整剤,ｴﾃﾎﾝ,「-（植）」,,,,,,,,
漢字,石原ｴｽﾚﾙ10,13039,,植物成長調整剤,ｴﾃﾎﾝ,「-（植）」,,,,,,,,
ネ,ﾈｽﾞｺ粒剤,13041,,殺そ剤,ｸﾛﾛﾌｧｼﾉﾝ,「-」,,,,,,,,
リ,ﾘﾝｶS･1,13287,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
ヤ,ﾔｿﾁﾞｵﾝ,13595,,殺そ剤,ﾀﾞｲﾌｧｼﾝ,「-」,,,,,,,,
タ,ﾀﾈｻﾝGT,14026,,殺虫殺菌剤,ﾀﾞｲｱｼﾞﾉﾝ,1B,ﾁｳﾗﾑ,M3,,,,,,
ヒ,ﾋﾞｰｴｰ液剤,14391,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和ﾍﾟｰｽﾄ,14434,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
フ,ﾌｨｶﾞﾛﾝ乳剤,14517,,植物成長調整剤,ｴﾁｸﾛｾﾞｰﾄｴﾁﾙ,「-（植）」,,,,,,,,
漢字,日曹ｽﾐﾄｯﾌﾟM粉剤,14610,,殺虫殺菌剤,MEP,1B,ﾁｵﾌｧﾈｰﾄﾒﾁﾙ,1,,,,,,
漢字,塗布用ﾋﾞｰｴｰ,14656,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
ハ,ﾊﾟﾀﾞﾝﾋﾞｰﾑ粒剤,14823,,殺虫殺菌剤,ｶﾙﾀｯﾌﾟ,14,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
エ,ｴｷｶﾞｿﾞｰﾙ,15005,,植物成長調整剤,ﾍﾟﾝﾃﾞｨﾒﾀﾘﾝ,3,,,,,,,,
ス,ｽﾄｯﾎﾟｰﾙ液剤,15109,,植物成長調整剤,ｼﾞｸﾛﾙﾌﾟﾛｯﾌﾟ,4,,,,,,,,
漢字,日産ｽﾄｯﾎﾟｰﾙ液剤,15110,,植物成長調整剤,ｼﾞｸﾛﾙﾌﾟﾛｯﾌﾟ,4,,,,,,,,
カ,ｶﾀﾞﾝD,15115,,殺虫殺菌剤,ｱﾚｽﾘﾝ,3A,TPN,M5,,,,,,
コ,ｺﾝﾀｸﾄ,15129,,植物成長調整剤,ﾃﾞｼﾙｱﾙｺｰﾙ,"「-」(H*),「-（植）」(植*）",,,,,,,,
漢字,塗布用ﾍﾞｱﾆﾝ,15299,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
漢字,太洋りん化亜鉛1,15525,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
