頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
漢字,水溶性ﾗﾃﾐﾝ錠,2040,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,強力ﾗﾃﾐﾝ,2309,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
ラ,ﾗﾃﾐﾝﾘﾝ化亜鉛1%,3412,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
メ,ﾒﾘｰﾈｺ1号,3640,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
Z,Z･P,4088,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
漢字,強力ﾛｰﾀﾞﾝ,4917,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,固形ﾗﾃﾐﾝ,5823,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
メ,ﾒﾘｰﾈｺりん化亜鉛,6603,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
メ,ﾒﾘｰﾈｺｸﾏﾘﾝ,6727,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
Z,Z･P1.00,8971,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
チ,ﾁｭｰﾓｱ｢ｺﾝｸ｣,11005,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
サ,ｻﾝｹｲｸﾏﾘﾝ,12314,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
漢字,粉末ﾗﾃﾐﾝ,12988,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
ネ,ﾈｽﾞｺ粒剤,13041,,殺そ剤,ｸﾛﾛﾌｧｼﾉﾝ,「-」,,,,,,,,
リ,ﾘﾝｶS･1,13287,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
ヤ,ﾔｿﾁﾞｵﾝ,13595,,殺そ剤,ﾀﾞｲﾌｧｼﾝ,「-」,,,,,,,,
漢字,太洋りん化亜鉛1,15525,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
ヤ,ﾔｿｰﾙ,15591,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
コ,ｺﾛｿ粒剤,21073,,殺そ剤,ｸﾛﾛﾌｧｼﾉﾝ,「-」,,,,,,,,
ホ,ﾎｸｻﾝりん化亜鉛10,22645,,殺そ剤,ﾘﾝ化亜鉛,24A,,,,,,,,
メ,ﾒﾘｰﾈｺ3号,24176,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
ラ,ﾗｯﾄｼｰﾄﾞF,24431,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
