insect_name,disease_name,weed_name
アイノキクイムシ,アルタナリア菌による病害,アオミドロ・藻類による表層はく離
アオキシロカイガラムシ,いもち病,アオミドロ・藻類による表層はく離(九州)
アオドウガネ,いもち病(苗いもち),アオミドロ・藻類による表層はく離(北海道、近畿・中国・四国)
アオドウガネ幼虫,うどんこ病,アオミドロ・藻類による表層はく離(北海道、関東・東山・東海)
アオバハゴロモ,うどんこ病(さるすべり、はなみずき),アオミドロ・藻類による表層はく離(北海道)
アイノキクイムシ,うどんこ病(だいず、さやえんどう),アオミドロ・藻類による表層はく離(北陸、九州を除く)
アオキシロカイガラムシ,うどんこ病(ばら),アオミドロ・藻類による表層はく離(北陸、関東・東山・東海)
アオムシ,うどんこ病(ぶどう),アオミドロ・藻類による表層はく離(北陸を除く)
アオムシ(キャベツ、はつかだいこん),うどんこ病(もも類),アオミドロ・藻類による表層はく離(東北、北陸、近畿・中国・四国)
アオムシ(はぼたん),えそモザイク病,アオミドロ・藻類による表層はく離(東北、北陸を除く)
アカエグリバ,えそ斑点病,アオミドロ・藻類による表層はく離(東北)
アカガネサルハムシ,オオシロカラカサタケ,アオミドロ・藻類による表層はく離(東北を除く)
アカギヒメヨコバイ,カーブラリア葉枯病,アオミドロ・藻類による表層はく離(近畿・中国・四国、九州)
アカギヒメヨコバイ幼虫,かいよう病,アオミドロ・藻類による表層はく離(近畿・中国・四国)
アカスジカスミカメ,かさ枯病,アオミドロ・藻類による表層はく離(近畿・中国・四国を除く)
アカヒゲホソミドリカスミカメ,カモシカ,アオミドロ・藻類による表層はく離(関東・東山・東海、近畿・中国・四国)
アカフツヅリガ,カラス,アカギ
アカマダラケシキスイ,カワラヒワ,アキメヒシバ
アカマルカイガラムシ,がんしゅ病,アゼガヤ
アゲハ,キジ,アメリカセンダングサ
アゲハ類,キジバト,アメリカネナシカズラ
アケビコノハ,クマ,アレチウリ
アサトビハムシ,くもの巣病,アレチノギク、カラムシ、シシウド等の大型雑草
アサノミハムシ,クワイカビ類による木材腐朽,イシクラゲ
アザミウマ類,こぶ病,イチビ
アザミウマ類(ネギアザミウマを除く),ごま色斑点病,イボクサ
アシグロハモグリバエ,ごま葉枯病,ウキクサ(近畿・中国・四国)
アズキノメイガ,コルキールート病,ウキクサ類
アブラゼミ,さび病,ウラジロ
アブラムシ類,さび病(あずき、さやえんどう),ウラジロチチコグサ
アブラムシ類(いぬまき),しみ腐病,ウリカワ
アフリカマイマイ,じゃのめ病,ウリカワ(東北を除く)
アメリカザリガニ,すすかび病,エゾノサヤヌカグサ
アメリカシロヒトリ,スズメ,エゾノサヤヌカグサ(北海道)
アメリカシロヒトリ(さくら),すす斑病,オオクサキビ
アメリカシロヒトリ(すもも),すす斑病(うめ),オモダカ
アメリカシロヒトリ幼虫,すす点病,オモダカ(九州の早期を除く)
アリモドキゾウムシ,すす点病(すもも),オモダカ(九州を除く)
アルファルファタコゾウムシ,すす紋病,オモダカ(北海道、九州を除く)
アワダチソウグンバイ,すそ枯病,オモダカ(北海道、東北を除く)
アワノメイガ,ズッキーニ黄斑モザイクウイルスの感染によるモザイク病及び萎凋症,オモダカ(北海道、関東・東山・東海、近畿・中国・四国)
アワヨトウ,ステムフィリウム葉枯症,オモダカ(北海道を除く)
イエシロアリ,せん孔病,オモダカ(北陸を除く)
イグサシンムシガ,せん孔細菌病,オモダカ(東北、北陸、九州)
イシュクセンチュウ,せん孔褐斑病,オモダカ(東北、北陸)
イチゴセンチュウ,そうか病,オモダカ(東北、関東・東山・東海)
イチゴネグサレセンチュウ,そばかす病,オモダカ(東北)
イチゴメセンチュウ,たてぼや病,オモダカ(近畿・中国・四国)
イチジクヒトリモドキ,ダラースポット病,オモダカ(関東・東山・東海、九州)
イチジクモンサビダニ,つる割病,オモダカ(関東・東山・東海)
イチョウヒゲビロウドカミキリ成虫,つる割細菌病,カズノコグサ
イナゴ類,つる枯病,カワリバトウダイ
