new_id,original_id,name,name_normalized,level,parent_id,category_id,mid_category_id,category_name,mid_category_name,entry_type,display
CAT_01,1085,野菜類,NULL,1,NULL,CAT_01,NULL,野菜類,NULL,large_category,0
CAT_02,449,果樹類,NULL,1,NULL,CAT_02,NULL,果樹類,NULL,large_category,0
CAT_03,122623,穀類,NULL,1,NULL,CAT_03,NULL,穀類,NULL,large_category,0
CAT_04,NULL,きのこ類,NULL,1,NULL,CAT_04,NULL,きのこ類,NULL,large_category,0
CAT_05,NULL,その他の食用作物,NULL,1,NULL,CAT_05,NULL,その他の食用作物,NULL,large_category,0
CAT_06,7577,飼料作物,NULL,1,NULL,CAT_06,NULL,飼料作物,NULL,large_category,0
CAT_07,NULL,薬用作物,NULL,1,NULL,CAT_07,NULL,薬用作物,NULL,large_category,0
CAT_08,409,花き類・観葉植物,NULL,1,NULL,CAT_08,NULL,花き類・観葉植物,NULL,large_category,0
CAT_09,1500,樹木類,NULL,1,NULL,CAT_09,NULL,樹木類,NULL,large_category,0
CAT_10,2082,芝,NULL,1,NULL,CAT_10,NULL,芝,NULL,large_category,0
CAT_11,NULL,その他の非食用作物,NULL,1,NULL,CAT_11,NULL,その他の非食用作物,NULL,large_category,0
CAT_12,NULL,適用地帯等,NULL,1,NULL,CAT_12,NULL,適用地帯等,NULL,large_category,0
CAT_13,NULL,その他,NULL,1,NULL,CAT_13,NULL,その他,NULL,large_category,0
MID_01_01,1087,いも類,NULL,2,CAT_01,CAT_01,MID_01_01,野菜類,いも類,mid_category,0
MID_01_02,NULL,根菜類,NULL,2,CAT_01,CAT_01,MID_01_02,野菜類,根菜類,mid_category,0
MID_01_03,140105,鱗茎類,NULL,2,CAT_01,CAT_01,MID_01_03,野菜類,鱗茎類,mid_category,0
MID_01_04,11970,豆類,NULL,2,CAT_01,CAT_01,MID_01_04,野菜類,豆類,mid_category,0
MID_01_05,549,うり類,NULL,2,CAT_01,CAT_01,MID_01_05,野菜類,うり類,mid_category,0
MID_01_06,NULL,なす科果菜類,NULL,2,CAT_01,CAT_01,MID_01_06,野菜類,なす科果菜類,mid_category,0
MID_01_07,153751,あぶらな科野菜(花蕾及び茎),NULL,2,CAT_01,CAT_01,MID_01_07,野菜類,あぶらな科野菜(花蕾及び茎),mid_category,0
MID_01_08,NULL,葉菜類,NULL,2,CAT_01,CAT_01,MID_01_08,野菜類,葉菜類,mid_category,0
MID_01_09,NULL,茎野菜類,NULL,2,CAT_01,CAT_01,MID_01_09,野菜類,茎野菜類,mid_category,0
MID_01_10,NULL,食用花,NULL,2,CAT_01,CAT_01,MID_01_10,野菜類,食用花,mid_category,0
MID_01_11,NULL,その他野菜類,NULL,2,CAT_01,CAT_01,MID_01_11,野菜類,その他野菜類,mid_category,0
MID_02_01,1199,かんきつ,NULL,2,CAT_02,CAT_02,MID_02_01,果樹類,かんきつ,mid_category,0
MID_02_02,NULL,仁果類,NULL,2,CAT_02,CAT_02,MID_02_02,果樹類,仁果類,mid_category,0
MID_02_03,142568,核果類,NULL,2,CAT_02,CAT_02,MID_02_03,果樹類,核果類,mid_category,0
MID_02_04,NULL,ベリー類等の小粒果実類,NULL,2,CAT_02,CAT_02,MID_02_04,果樹類,ベリー類等の小粒果実類,mid_category,0
MID_02_05,NULL,その他果樹類,NULL,2,CAT_02,CAT_02,MID_02_05,果樹類,その他果樹類,mid_category,0
MID_03_01,644,稲,NULL,2,CAT_03,CAT_03,MID_03_01,穀類,稲,mid_category,0
