id,name,name_normalized,large_category,mid_category,small_category,entry_type,aliases_raw,match_source
1,きゅうり,きゅうり,野菜類,うり類,うり類（未成熟）,crop,乙事赤うり,完全一致
3,なす,なす,野菜類,なす科果菜類,,crop,,完全一致
5,キャベツ,キャベツ,野菜類,葉菜類,結球あぶらな科葉菜類,crop,チリメンキャベツ、サボイキャベツ,完全一致
7,いちご,いちご,野菜類,,,crop,オランダイチゴ,完全一致
8,ケール,ケール,野菜類,葉菜類,非結球あぶらな科葉菜類,crop,ハゴロモカンラン、リョクヨウカンラン,完全一致
9,うめ,うめ,果樹類,核果類,小粒核果類,crop,,完全一致
10,茶,茶,その他の食用作物,,,crop,,手動分類
14,りんご,りんご,果樹類,仁果類,,crop,,完全一致
15,あぶらな科野菜(キャベツ、こまつなを除く),あぶらな科野菜(キャベツ、こまつなを除く),野菜類,その他野菜類,,exclusion_group,,ver3継承
21,こまつな,こまつな,野菜類,葉菜類,非結球あぶらな科葉菜類,crop,小松菜,完全一致
27,だいこん,だいこん,野菜類,根菜類,,crop,葉だいこん、だいこんな,完全一致
28,はくさい,はくさい,野菜類,葉菜類,結球あぶらな科葉菜類,crop,,完全一致
31,かぶ,かぶ,野菜類,根菜類,,crop,赤かぶ、赤菜、温海かぶ、稲核菜、大かぶ、鬼首菜、源助カブナ、こかぶ、小牛田菜、聖護院かぶ、酢茎菜（すぐきな）、長禅寺菜、津田かぶ、天王寺かぶ、鳴沢菜、羽広菜、ひのなかぶ（日野菜）、福島菜、紅かぶ、ゆるぎかぶ（万木かぶ）,完全一致
39,レタス,レタス,野菜類,葉菜類,レタス類,crop,クリスプヘッド型たまちしゃ,完全一致
46,非結球レタス(サラダ菜を除く),非結球レタス(サラダ菜を除く),野菜類,葉菜類,レタス類,exclusion_group,かきちしゃ（サンチュ、チマサンチュ）、サラダ菜、ロメインレタス、サニーレタス、フリルレタス,ベース一致
53,サラダ菜,サラダ菜,野菜類,葉菜類,,crop,,ver3継承
60,くきちしゃ,くきちしゃ,野菜類,茎野菜類,,crop,やまくらげ、トムシャ、ステムレタス,完全一致
